0,107
0,131
0,257
0,423
0,429
0,476
0,541
0,549
0,646
0,746
0,783
0,1066
0,1077
0,1241
0,1245
0,1435
0,1603
0,1673
0,1864
0,1909
0,2086
0,2183
0,2364
0,2516
0,3015
0,3461
0,3502
0,3693
0,3887
0,4197
0,4326
0,4329
0,4855
1,44
1,156
1,208
1,219
1,384
1,563
1,880
1,1083
1,1318
1,1485
1,1676
1,2019
1,2097
1,2113
1,2149
1,2166
1,2234
1,2248
1,2259
1,2619
1,3261
1,3390
1,3589
1,3868
1,3994
1,4026
1,4098
1,4132
1,4470
1,4676
1,4788
2,211
2,249
2,271
2,296
2,367
2,383
2,736
2,778
2,804
2,934
2,1189
2,1438
2,1476
2,1693
2,1953
2,2781
2,3378
2,3443
2,3552
2,3568
2,3678
2,3734
2,3759
2,4133
2,4392
2,4464
2,4538
2,4597
2,4626
2,4725
2,4877
2,4884
2,4932
3,31
3,508
3,536
3,2114
3,2136
3,2294
3,2320
3,2346
3,2483
3,3106
3,3208
3,3405
3,3411
3,3680
3,3690
3,3867
3,3933
3,4022
3,4129
3,4150
3,4268
3,4507
3,4752
4,46
4,193
4,259
4,450
4,525
4,535
4,567
4,813
4,1126
4,1150
4,1201
4,1214
4,1403
4,2070
4,2087
4,2088
4,2168
4,2333
4,2609
4,2699
4,3261
4,3309
4,3372
4,3410
4,3411
4,3671
4,3953
4,3961
4,4143
4,4168
4,4458
4,4480
5,16
5,156
5,479
5,564
5,757
5,1092
5,1334
5,1479
5,1542
5,1715
5,1752
5,1786
5,1796
5,1897
5,1910
5,2119
5,2352
5,3153
5,3312
5,3346
5,3363
5,3572
5,3940
5,4353
5,4743
5,4958
6,124
6,237
6,286
6,469
6,795
6,875
6,1050
6,1090
6,1335
6,1442
6,1486
6,1608
6,2221
6,2405
6,2660
6,2910
6,3029
6,3038
6,3185
6,3963
6,4204
6,4207
6,4964
7,142
7,388
7,394
7,507
7,764
7,1506
7,1541
7,1864
7,1910
7,1984
7,2023
7,2370
7,3044
7,3274
7,3537
7,3590
7,3777
7,4574
7,4867
7,4906
8,228
8,473
8,879
8,1190
8,1262
8,1397
8,1465
8,1581
8,1716
8,1901
8,1907
8,1923
8,2498
8,2849
8,3178
8,3227
8,3235
8,3381
8,3390
